Title,Artist,Lyrics
Lila Wolken,Marteria / Yasha / Miss Platnum,"Dreißig Grad, ich kühl' mein'n Kopf
Am Fensterglas, such' den Zeitlupenknopf
Wir leben immer schneller, feiern zu hart
Wir treffen die Freunde und vergessen unser'n Tag
Woll'n kein'n Stress, kein'n Druck, nehm' 'nen Zug, noch 'n Schluck
Vom Gin Tonic, guck in diesen Himmel, wie aus Hollywood
Rot knallt in das Blau, vergoldet deine Stadt
Und über uns ziehen lila Wolken in die Nacht

Wir bleiben wach, bis die Wolken wieder lila sind
Wir bleiben wach, bis die Wolken wieder lila sind
(Oh oh) bis die Wolken wieder lila sind
Wir bleiben wach, bis die Wolken wieder lila sind
Guck, da oben steht ein neuer Stern (yeah)
Kannst du ihn sehen bei unser'm Feuerwerk? (oh)
Wir reißen uns von allen Fäden ab (yeah)
Lass sie schlafen, komm, wir heben ab

[Marteria:]
Jung und ignorant, stehen auf'm Dach
Teilen die Welt auf und bau'n ein'n Palast
Aus Plänen und Träumen, jeden Tag neu
Bisschen Geld gegen Probleme, wir nehm'n, was wir woll'n
Woll'n mehr sein, mehr sein als nur ein Moment
Yeah, komm mir nicht mit großen Namen, die du kennst
Wir trinken auf Verlierer, lassen Pappbecher vergolden
Feiern hart, fallen weich auf die lila Wolken

[Yasha:]
Wir bleiben wach, bis die Wolken wieder lila sind
Wir bleiben wach, bis die Wolken wieder lila sind
(Oh oh) bis die Wolken wieder lila sind
Wir bleiben wach, bis die Wolken wieder lila sind
Guck, da oben steht ein neuer Stern (yeah)
Kannst du ihn sehen bei unser'm Feuerwerk? (oh)
Wir reißen uns von allen Fäden ab (yeah)
Lass sie schlafen, komm, wir heben ab

[Miss Platnum:]
Kannst du auch nich' schlafen
Machst du auch kein Auge zu
Lass uns gemeinsam warten
Ich fühl' mich genau wie du
Wir seh'n wie die Sonne
Aufgeht, yeah, yeah
Wir seh'n wie die Sonne
Aufgeht, yeah, yeah
Wir seh'n wie die Sonne
Aufgeht, yeah, yeah
Wir seh'n wie die Sonne
Aufgeht, yeah, yeah

[Yasha & Miss Platnum:]
Wir bleiben wach, bis die Wolken wieder lila sind
Wir bleiben wach, bis die Wolken wieder lila sind
(Oh oh) bis die Wolken wieder lila sind
Wir bleiben wach, bis die Wolken wieder lila sind
Guck, da oben steht ein neuer Stern (yeah)
Kannst du ihn sehen bei unser'm Feuerwerk? (oh)
Wir reißen uns von allen Fäden ab (yeah)
Lass sie schlafen, komm, wir heben ab"
Easy,Cro,"Easy, ea-, ea-, ea-, ea-
Easy, ea-, ea-, ea-, ea-

Leute sagen zu mir „Cro, das Genie“, denn er flowt wieder wie
Dieser Hova und außerdem baut er die Beats
Es ist easy, ea-, ea-, ea-, ea-
Und dieser Typ hier vergleicht sich mit Jay-Z und scheißt auf die Playsi
Denn ich häng' ab mit Rockstars, genauso wie AC-DC, ea-, ea-, ea-, ea-
Yeah, ich chill' im Bett mit 'ner Chick, die sieht aus wie die Sis von Beyoncé
Doch eigentlich, ey, geb' ich 'n Fick auf Frauen wie Eazy-E, ea-, ea-
Okay, das mit den Chicks tut mir leid, es war nicht so gemeint
Kannst du mir noch mal verzeihen, Ina?
Und sie schreit: „Ich heiß' Isi“, Ea-, ea-, ea-, ea-
Doch wenn sie plötzlich so 'n kleines Ding zeigt, du eigentlich schon weißt
Der zweite Strich heißt, es ist aus und vorbei, bleib easy, ea-, ea-, ea-, ea-
Yeah, und wenn sie heiraten will und nach drei Tagen chillen
Schon dein ganzes Haus und deinen Leihwagen will, erschieß sie, ea-, ea-, ea-, ea-
Yeah, doch das würd' ich mich nicht trauen, Mann, das weiß ich genau
Denn davor hau' ich ab und sing' „Runaway“ wie Kanyeezy, ea-, ea-, ea-, ea-
Eh, und dann lauf' ich und lauf' ich, wohin ist noch offen
Am besten nur weit, weit weg, vielleicht Washington DC, ea-, ea-, ea-, ea-
Yeah, und diese Frau war verrückt, denn sie hat mich erdrückt
Schreit, „Cro, komm zurück“
Doch ich schlüpf' grad in die Air Yeezy und verließ sie
Und mach' den iPod an, und alles, was ich hör', ist

Sunny, ehh
Ich weiß schon, du heißt Isi, aber ist mir egal
Ich nenn' dich lieber Sunny, ehh
Ab jetzt wird alles easy, denn du bist nicht mehr da, ehh
Sunny, ehh
Ich weiß schon, du heißt Isi, aber ist mir egal
Ich nenn' dich lieber Sunny, ehh
Ab jetzt wird alles easy, denn du bist nicht mehr da, ehh

Easy, ea-, ea-, ea-, ea-
Easy, ea-, ea-, ea-, ea-"
Du,Cro,"Sie sagt
Sie würde gern ans Meer
Mal wieder weg von hier
Ist egal wohin, einfach weit weit weg und der Stress bleibt hier
Und am besten gleich
Sie sagt, „Mann, ich hätt' gern Zeit“ 
Wär' nicht gern reich, ich will nur so viel
Dass es stress-frei reicht ey, verdammt man

ich wär' gern bei ihr
Sie will nach London, Paris, einfach raus in die Welt und smilen, yeah!
Und jeder Club spielt ihr Lieblingslied, sie will nie wieder Heim, yeah
Und sie glaubt fest dran aber schaut mich an
Sagt „Was ist mit dir, sag hast du 'n Wunsch?“
Ich sag „Ne, eigentlich ist alles cool!“

Denn Baby, glaub mir, das Beste bist du
Hey, vergiss mal den Rest und hör zu
Ich will nie wieder weg, denn es is' cool
Ja, ich weiß, es gibt viel, was mir gefällt

Baby, glaub mir, das Beste bist du
Hey, vergiss mal den Rest und hör zu
Ich will nie wieder weg, denn es is' cool
Ja, ich weiß, es gibt viel, was mir gefällt

Baby
Ich zerbrech' mir den Kopf denn was bringt mir das Geld wenn ich dich nicht seh'?
Und jedes Mal, wenn du mich dann ansiehst bleibt meine Welt kurz stehen
Und ich weiß ganz genau, dass du dich gerade fragst ob das mit uns geht
Denn kaum bin ich da, muss ich weg doch versprech' dir jetzt
Und bin bald wieder da, yeah
Ich bin in London, Paris man, ich glaub ich bin jetzt ein Star, yeah
Nein, ich denk nich' nach sondern mach nur, was ich mag, yeah
Denn diese Welt is' geil jeder Tag zur Zeit macht Spaß und es ist wahr
Es gibt viel, was mir gefällt

Doch Baby, glaub mir, das Beste bist du
Hey, vergiss mal den Rest und hör zu
Ich will nie wieder weg, denn es is' cool
Ja, ich weiß, es gibt viel, was mir gefällt

Doch Baby, glaub mir, das Beste bist du
Hey, vergiss mal den Rest und hör zu
Ich will nie wieder weg, denn es is' cool
Ja, ich weiß, es gibt viel, was mir gefällt, baby!

Und alles Geld der Welt
Hat plötzlich keinen Wert wenn du mich ansiehst
Und alles dreht sich um sich selbst
Fühlt sich an, als ob man fällt
Nichts was uns jetzt noch hält
Nur wir zwei gegen die Welt

Denn Baby, glaub mir, das Beste bist du
Hey, vergiss mal den Rest und hör zu
Ich will nie wieder weg, denn es is' cool
Ja, ich weiß, es gibt viel, was mir gefällt

Baby, glaub mir, das Beste bist du
Hey, vergiss mal den Rest und hör zu
Ich will nie wieder weg, denn es is' cool
Ja, ich weiß, es gibt viel, was mir gefällt

Doch Baby, glaub mir, das Beste
Du
Baby, glaub mir, das Beste
Du
Baby, glaub mir, das Beste
Du"
Leider geil (leider geil),Deichkind,"Es tut mir leid, doch Ich muss leider gesteh'n
Es gibt Dinge auf der Welt, die sind – leider geil
Autos machen Dreck, Umwelt geht kaputt
Doch 'ne fette neue Karre ist – leider geil
Ich knabber' an dem Buntstift, Mama sagt: ""Lass das!""
Doch es entpannt mich – leider geil
Diagnose Psychose, mir doch egal
Denn ein Jibbit vor dem Aufsteh'n – leider geil
""Weg mit dem Atom!"", hörst du sie schreien
Ich lade mein Smartphone – leider geil
Hab' endlich einen Job, muss morgen früh raus
Versack' in 'ner Kneipe – leider geil
Die Zähne sind braun, es tut noch nicht weh
Ich geh' nicht zum Zahnarzt – leider geil
Ich dekoriere besoffene Freunde
Ist zwar gemein aber – leider geil

Schlecht für den Nachwuchs, schlecht für die Nordsee
Schlecht für den Kopf – doch leider geil!
Schlecht für dein Karma, schlecht für die Zukunft
Schlecht für den Job – doch leider geil!

Tu doch nich' so, du magst es doch auch
Ich bin ein Teil von dir
Guck dich doch um, sieh sie dir an
Sie sind genauso wie wir
Tu doch nich' so, du magst es doch auch
Ich bin ein Teil von dir
Guck dich doch um, sieh sie dir an
Sieh' sie dir an, sieh' sie dir an

Weg mit den Büchern, weg mit dem Regal
Mein neuer Flatscreen – leider geil
Die Bank schickt 'ne Rechnung, ich mach' sie nicht auf
Ich schmeiß' sie in Müll – leider geil
Ich stehe morgens auf, der Kaffee schmeckt herrlich
Ich leg' mich wieder hin – leider geil
Ich kann gar nichts seh'n, alles dunkel
Doch Sonnenbrille im Club ist – leider geil
Die Platte von Deichkind war nich' so mein Ding
Doch ihre Shows sind – leider geil
Oh, Gott, wer ist diese Schrulle neben mir im Bett?
Ich war wohl gestern Abend – leider geil
LED unterm Bett, LED unterm Schrank
LED unterm Sofa – leider geil
Ein Drache und ein Krieger kämpfen auf dem Berg
Airbrushgemälde – leider geil

Schlecht für die Quote, schlecht für die Quinte
Schlecht für mein Quad – doch leider geil!
Schlecht für die Pläne, schlecht für die Plauze
Schlecht für den Plot – doch leider geil!

Tu doch nich' so, du magst es doch auch
Ich bin ein Teil von dir
Guck dich doch um, sieh sie dir an
Sie sind genauso wie wir
Tu doch nich' so, du magst es doch auch
Ich bin ein Teil von dir
Guck dich doch um, sieh sie dir an
Sieh' sie dir an, sieh' sie dir an

Ich schaue gerne viel, ich schaue gerne lang
Kenn'n Sie Barbara Salesch? – leider geil
Ich kann es mir nicht leisten, alles auf Raten
Die Karte glüht – leider geil
Ich winke dem Veganer
Mit dem Mund voller Hackfleisch ... mh! – leider geil
Oh, meine Katze – sie ist leider tot
Aber drei Tage feiern war – leider geil
Hör auf zu denken, schalt dein Gehirn aus
Follow your instincts – leider geil
Ich hab' Bock auf den Burger, Bock auf die Busen
Bock auf das Bier – leider geil
Kleine Kinderhände nähen schöne Schuhe
Meine neuen Sneakers sind – leider geil
In diesem Lied hat sich gar nichts gereimt
Hat niemand gemerkt – leider geil

Tu doch nich' so, du magst es doch auch
Ich bin ein Teil von dir
Guck dich doch um, sieh sie dir an
Sie sind genauso wie wir
Tu doch nich' so, du magst es doch auch
Ich bin ein Teil von dir
Guck dich doch um, sieh sie dir an
Sieh' sie dir an, sieh' sie dir an

Leider geil! Leider geil!
Schlecht für den Whirlpool, schlecht für die Wahrheit
Schlecht für den Wok
Schlecht für die Griechen, schlecht für die GEMA
Schlecht für dein'n Gott"
Von allein,Culcha Candela,"Soca time! (Yeah)

Die Sonne scheint heute die ganze Nacht
Hängt tausend Zettel in die Nachtbarschaft
Wenn's heute lauter wird dann tut's uns leid
Komm vorbei und alles andere kommst dann von allein

Que que salta, que mueve tu cuerpo y salta
Que que toca el techo y brinca
Y siente el ritmo es soca
Sigue sigue salta
Que que mueve tu cuerpo salta
Que que toca el techo y brinca
Y siente el ritmo
Todo el mundo!

Keiner fragt wieso
Keiner fragt warum
Keiner fragt wie's geht
Denn es geht schon von allein
Keiner fragt wohin
Keiner fragt wie lang
Keiner fragt mit wem
Denn es geht schon von allein

Die Erde dreht sich von allein
Dein Arsch bewegt sich von allein
Die Gläser füllen sich von allein
Alles geht heut' von allein
Deutschland tanzt von allein
Jeder kann's von allein, denk nicht nach
Lass es sein, denn alles geht heut von allein

Wooh que mueve el cuerpo
Wooh que estás caliente
Wooh me encantas Mami
Wooh

Ich mag feiern und ich mag abstylen
Ein bisschen Party muss ab und zu schon mal sein
Ich will springen ich will tanzen und schreien
Alle zusammen heute bleibt keiner allein
Wir feiern durch heute die ganze Nacht
Lassen die Korken knallen mit der ganzen Nachbarschaft
Jeder zuckt jeder muckt jeder muss sich bewegen
Komm lass dich einfach gehen

Keiner fragt wieso
Keiner fragt warum
Keiner fragt wie's geht
Denn es geht schon von allein
Keiner fragt wohin
Keiner fragt wie lang
Keiner fragt mit wem
Denn es geht schon von allein

Die Erde dreht sich von allein
Dein Arsch bewegt sich von allein
Die Gläser füllen sich von allein
Alles geht heut' von allein
Deutschland tanzt von allein
Jeder kann's von allein
Denk nicht nach,
Lass es sein' denn alles geht heut' von allein

Wooh que mueve el cuerpo
Wooh que estás caliente
Wooh me encantas Mami
Wooh

Egal ob blau, weiß, grün
Egal ob schwarz, rot, Gold
Wir feiern alle Farben
Wir bringen das Ding ins Rollen
Deine Fahne in die Luft (hey!)
Deine Fahne in die Luft (sí)
Yeah yeah yeah yeah
Yeah yeah yeah yeah

Alle Leute strahlen
Es fühlt sich so gut an
Uns gehören die Straßen
Wir machen voll Alarm
Deine Fahne in die Luft (hey!)
Deine Fahne in die Luft (sí)
Yeah yeah yeah yeah
Yeah yeah yeah yeah

Keiner fragt wieso
Keiner fragt warum
Keiner fragt wie's geht
Denn es geht schon von allein
Keiner fragt wohin
Keiner fragt wie lang
Keiner fragt mit wem
Denn es geht schon von allein

Die Erde dreht sich von allein
Dein Arsch bewegt sich von allein
Die Gläser füllen sich von allein
Alles geht heut' von allein
Deutschland tanzt von allein
Jeder kann's von allein
Denk nicht nach,
Lass es sein, denn alles geht heut' von allein

Wooh que mueve el cuerpo
Wooh que estás caliente
Wooh me encantas Mami
Wooh alles geht heut' von allein"
Bück dich hoch,Deichkind,"Halt die Deadline ein, so ist's fein
Hol' die Ellenbogen raus, burn dich aus
24/7, acht bis acht
Was geht ab, machste schlapp, what the fuck
Bück dich, bück dich, bück dich hoch
Bück dich, bück dich, bück dich hoch
Bück dich, bück dich, bück dich hoch
Bück dich hoch, ja

Das muss heute noch zum Chef, besser jetzt - Bück dich hoch
Ach du Schreck, Bonus-Scheck, ist schon weg - Bück dich hoch
Fleißig Überstunden, ganz normal - Bück dich hoch
Unbezahlt, scheiß egal, keine Wahl - Bück dich hoch

Klick dich, fax dich, mail dich hoch
Grapsch dich, quetsch dich, schleim dich hoch
Kick dich, box dich, schlaf dich hoch
Bück dich hoch, ja!

Bück dich hoch! Komm steiger den Profit!
Bück dich hoch! Sonst wirst du ausgesiebt
Bück dich hoch! Mach dich beim Chef beliebt
Bück dich hoch! Auch wenn es dich verbiegt
Bück dich hoch! Komm steiger den Profit!
Bück dich hoch! Sonst wirst du ausgesiebt
Bück dich hoch! Mach dich beim Chef beliebt
Bück dich hoch! Bück dich hoch, ja

Dieses Wochenende pitch, machste mit - Bück dich hoch
Denke groß, sei aktiv, halt dich fit - Bück dich hoch
Pass dich an, du bist nichts, glaub ans Team - Bück dich hoch
Halt die Schnauze, frisch ans Werk und verdien - Bück dich hoch
Aufgebraucht, abgeraucht, ausgetauscht - Bück dich hoch
Komm pack im Meeting noch ne Schippe drauf - Bück dich hoch
Yogakurs, abgesagt, reingekloppt - Bück dich hoch
Fehlt der Job, ja mein Gott, tu als ob - Bück dich hoch

Klick dich, fax dich, mail dich hoch
Grapsch dich, quetsch dich, schleim dich hoch
Kick dich, box dich, schlaf dich hoch
Bück dich hoch, ja!

Bück dich hoch! Komm steiger den Profit!
Bück dich hoch! Sonst wirst du ausgesiebt
Bück dich hoch! Mach dich beim Chef beliebt
Bück dich hoch! Auch wenn es dich verbiegt
Bück dich hoch! Komm steiger den Profit!
Bück dich hoch! Sonst wirst du ausgesiebt
Bück dich hoch! Mach dich beim Chef beliebt
Bück dich hoch! Bück dich hoch, ja

Zick dich, bitch dich, grins dich, push dich
Deal dich, klatsch dich, drück dich, reib dich
Swing dich, stech dich, grip dich, zech dich
Roll dich, fahr dich, stampf dich, jag dich
Kämpf dich, schieß dich, gräm dich, flash dich
Schlag dich, kick dich, press dich, füg dich
Treib dich, knöpf dich, schraub dich, quäl dich
Bück dich hoch

Du brauchst Konkurrenz, keine Fans
Do your fucking Job, till the End
Nimm dir ein Beispiel an Donald Trump
Was ist los, reiß dich zusammen, pack mit an
Deinen Einsatz gibst du denen da oben gern - Bück dich hoch
Schenke deinen Urlaub dem Konzern - Bück dich hoch
Trink ein großen Schluck Leistungsdruck - Bück dich hoch
Wir steigern das Bruttosozialprodukt

Bück dich hoch! Komm steiger den Profit!
Bück dich hoch! Sonst wirst du ausgesiebt
Bück dich hoch! Mach dich beim Chef beliebt
Bück dich hoch! Auch wenn es dich verbiegt
Bück dich hoch! Komm steiger den Profit!
Bück dich hoch! Sonst wirst du ausgesiebt
Bück dich hoch! Mach dich beim Chef beliebt
Bück dich hoch! Bück dich hoch, ja

Bück dich hoch, ja"
Altes Fieber,Die Toten Hosen,"Wo sind diese Tage
An denen wir glaubten
Wir hätten nichts zu verlieren
Wir machen alte Kisten auf
Holen unsere Geschichten raus
Ein großer, staubiger Haufen Altpapier
Wir hören Musik von früher
Schauen uns verblasste Fotos an
Erinnern uns, was mal gewesen war

Und immer wieder
Sind es dieselben Lieder
Die sich anfühlen
Als würde die Zeit stillstehen

Ich geh' auf meine Straße
Lauf zu unserem Laden
Seh euch da alle sitzen
Weiß, dass ich richtig bin
In welchen Höhen und welchen Tiefen
Wir gemeinsam waren
Drei Kreuze, dass wir immer noch hier sind

Und immer wieder
Sind es dieselben Lieder
Die sich anfühlen
Als würde die Zeit stillstehen
Denn es geht nie vorüber
Dieses alte Fieber
Das immer dann hochkommt
Wenn wir zusammen sind
Wir stoßen an

Mit jedem Glas
Auf alle, die draufgegangen sind"
Schau nicht mehr zurück,Xavas,"Und ich schau' nicht mehr zurück
Aber wenn ich zurückschau', seh' ich nur mein Glück
Alles andere hab' ich gerne zugeschüttet
Und mit schönen Erinnerungen einfach überbrückt, wouh-oh
Glaub mir, Bruder, ich schau' nicht mehr zurück

[Kool Savas:]
Heut ist ein neuer Beginn, ein neuer Anfang, ein neuer Start
Ein neues Kapitel, ein neuer Schritt, in 'ne neue Richtung, ein neuer Tag
Und ich lass' den Ballast von gestern hinter mir
Öffne die Augen, versuch', meine Ziele zu fokussier'n
Sie halten mich nicht auf, kriegen mich nicht weg
Versuchen, mich zu hassen, aber lieben diese Tracks
Ich pack' mein Herzblut in das hier, zünd' eine Kerze an, vergiss den Schmerz
Für einen Moment und du denkst, du könntest fliegen, wenn ich rapp'
Ich ging durch Tiefen und durch Höhen, aber immer weiter
Ich blick' zurück, es war nicht immer einfach, doch jetzt kann ich nimmer scheitern
Rap is my life und jeder Verse 'n Satz im Tagebuch
Jede dieser Melodien Heilung pur, du sparst dir 'n Arztbesuch
Ton gewordener Wagemut, Tonnen von Bars, bis jeder sagt
Wir haben genug Silben, Worte, lass sie flow'n wie Nasenbluten
Ich mach' mein Ding, auch wenn sie glauben, ich wär' verrückt
King-Essah, Futurama—

[Xavier Naidoo:]
Und ich schau' nicht mehr zurück
Aber wenn ich zurückschau', seh' ich nur mein Glück
Alles andere hab' ich gerne zugeschüttet
Und mit schönen Erinnerungen einfach überbrückt, wouh-oh
Glaub mir, Bruder, ich schau' nicht mehr zurück

Niemand kann seine Schritte teilen
Und sie einem andern geben
Man muss nicht überall bleiben
Man muss nicht immer gehen
Man kann nicht vor sich selber flüchten
Man kann nur für sich selber stehen
Man sollte sich vor gar nichts fürchten
Es gibt keinen Grund, nicht nach vorne zu sehen

[Kool Savas:]
Ich dreh' mich nochmal um, ein letzter Blick ins Vorbei
Salutier' der Vergangenheit, lass' nicht zu, dass mich der Zweifel noch geißelt
Meine Entscheidung, frei sein oder mich fallen lassen
Hör' nicht mehr hin, wenn sie mein'n, ""Du musst dir vom Schicksal alles gefallen lassen""
Niemals, erhebe Veto, lieber mühsam als leblos
Auch, wenn es wehtut, bezwing' jede noch so reißende Strömung
Ich seh' hoch, gleich, was sie sagen, wer's lenkt, leitet und drückt
Mein Leben, meine Bestimmung—

[Xavier Naidoo:]
Und ich schau' nicht mehr zurück
Aber wenn ich zurückschau', seh' ich nur mein Glück
Alles andere hab' ich gerne zugeschüttet
Und mit schönen Erinnerungen einfach überbrückt, wouh-oh
Glaub mir, Bruder—
Und ich schau' nicht mehr zurück
Aber wenn ich zurückschau', seh' ich nur mein Glück
Alles andere hab' ich gerne zugeschüttet
Und mit schönen Erinnerungen einfach überbrückt, wouh-oh
Glaub mir, Bruder, ich schau' nicht mehr zurück"
M+F,Die Ärzte,"Man sieht sie gern am Wochenende
Sportlich moderne Heeren mit heißem Blick
Sie zerren frisch gestrichene Damen
Auf die Tanzflächen der Republik

Das Balzverhalten erwachsener Menschen
Ist interessanter als so mancher glaubt
Von Brusthaartoupet bis Botoxmaske
In Krieg und der Liebe ist alles erlaubt!

Männer und Frauen sind das nackte grauen
Wie sie sich stundenlang tief in die Augen schauen
Und die Frauen anderen Frauen ihre Männer klauen
Und die Männer an den Frauen ihren Frust abbauen

Denn Männern und Frauen ist zuzutrauen
Das sie sich gegenseitig gerne die Nacht versauen
Wenn sie schmachten bis zum Morgengrauen
Und dann doch wieder allein nach Haus abhauen

Sie liegen schon Mittags in den Büschen
Nachts kann man kaum noch durch den Stadtpark gehen
Romantische Schwärmer nennen es „Liebe"" (ich würde sagen)
Hier kann man Hormone bei der Arbeit sehen

Und wenn sie die Beleuchtung dimmen
Eine Nation im Stangenfieber
Im Frühling ist's besonders schlimm
Darum ist mir der Winter einfach lieber

Denn Männer und Frauen sind das nackte grauen
Wie sie sich stundenlang tief in die Augen schauen
Und die Frauen anderen Frauen ihre Männer klauen
Und die Männer sowieso nur Häuser bauen

Manche Männer lieben Männer, Manche Frauen eben Frauen
Da gibt's nichts zu bedauern und nichts zu stauen
Das ist genau so normal wie Kaugummi kauen
Doch die meisten werden sich das niemals trauen "
So wie du warst,Unheilig,"Hab keine Angst, ich bin da für dich
Halte deine Hand
Und erinner mich
Wohin sind die Jahre
Und die Tage des Glücks?
Sie flogen vorbei
Ich halt dich fest
Und schau zurück
Gedanken ziehen an mir vorbei
Ich bin stolz auf unsere Zeit

So wie du warst, bleibst du hier
So wie du warst
Bist du immer bei mir
So wie du warst
Erzählt die Zeit
So wie du warst
Bleibt so viel von dir hier

Lass los, mein Freund
Und sorge dich nicht
Ich werde da sein
Für die, die du liebst
Jeder kurze Moment
Und Augenblick
Ich halte ihn in Ehren
Ganz egal, wo du bist
Ein ganzes Leben zieht vorbei
Ich bin stolz auf unsere Zeit

So wie du warst, bleibst du hier
So wie du warst
Bist du immer bei mir
So wie du warst
Erzählt die Zeit
So wie du warst
Bleibt so viel von dir hier

Lass los, mein Freund
Und sorge dich nicht
Ich werde da sein
Für die, die du liebst

So wie du warst, so wie du
So wie du warst, so wie du
So wie du warst, bleibst du hier
So wie du warst
Bist du immer bei mir
(So wie du warst, so wie du)
(So wie du warst, so wie du)
(So wie du warst, so wie du)
Lass los, mein Freund
Und sorge dich nicht
(So wie du warst, so wie du)
Ich werde da sein
Für die, die du liebst"
Nur noch kurz die Welt retten,Tim Bendzko,"Ich wär' so gern dabei gewesen
Doch ich hab' viel zu viel zu tun
Lass uns später weiter reden
Da draußen brauchen sie mich jetzt
Die Situation wird unterschätzt
Und vielleicht hängt unser Leben davon ab
Ich weiß es ist dir ernst
Du kannst mich hier grad nicht entbehren
Nur keine Angst, ich bleib' nicht all zu lange fern

Muss nur noch kurz die Welt retten
Danach flieg ich zu dir
Noch 148 Mails checken
Wer weiß was mir dann noch passiert
Denn es passiert so viel
Muss nur noch kurz die Welt retten
Und gleich danach bin ich wieder bei dir

Irgendwie bin ich spät dran
Fang schon mal mit dem Essen an
Ich stoß' dann später dazu
Du fragst: ""Wieso, weshalb, warum?""
Ich sag: ""Wer sowas fragt ist dumm.""
Denn du scheinst wohl nicht zu wissen was ich tu
'Ne ganz besondere Mission
Lass mich dich mit Details verschonen
Genug gesagt genug Information

Muss nur noch kurz die Welt retten
Danach flieg ich zu dir
Noch 148 Mails checken
Wer weiß was mir dann noch passiert
Denn es passiert so viel
Muss nur noch kurz die Welt retten
Und gleich danach bin ich wieder bei dir

Die Zeit läuft mir davon
Zu warten wäre eine Schande
Für die ganze Weltbevölkerung
Ich muss jetzt los
Sonst gibt's die große Katastrophe
Merkst du nicht das wir in Not sind

Ich muss jetzt echt die Welt retten
Danach flieg ich zu dir
Noch 148 Mails checken
Wer weiß was mir dann noch passiert
Denn es passiert so viel
Muss nur noch kurz die Welt retten
Danach flieg ich zu dir
Noch 148.713 Mails checken
Wer weiß was mir dann noch passiert
Denn es passiert so viel
Muss nur noch kurz die Welt retten
Und gleich danach bin ich wieder bei dir"
Wovon sollen wir träumen,Frida Gold,"Ich bin mittendrin und geb' mich allem hin
Aber schaut man hinter die Kulissen
Dann fängt es immer so an, ich schlafe immer zu lang
Krieg's nicht hin und fühl' mich deshalb beschissen
Ich erkenn' mich nicht in den Schaufensterscheiben
Entdecke nichts, was mir gefällt
Ich brauch' die schönsten Kleider und die stärksten Männer
Und eine Hand, die meine Hand für immer festhält

Wovon sollen wir träumen
So wie wir sind?
So wie wir sind?
So wie wir sind?
Woran können wir glauben?
Wo führt das hin?
Was kommt und bleibt
So wie wir sind?

Ich fühl' mich leer und die Nacht liegt schwer
So schwer auf meinen Schultern
All die Hoffnung, die war ist schon lang nicht mehr da
Schon wieder 'ne Nacht einfach vertan
Ich hab gesucht und gesucht, in den hintersten Ecken
Nach Augen, die mich interessieren
Noch nie hat das geklappt, doch ich mag's nicht kapieren

Wovon sollen wir träumen
So wie wir sind?
So wie wir sind?
So wie wir sind?
Woran können wir glauben?
Wo führt das hin?
Was kommt und bleibt
So wie wir sind?

Wir lassen uns treiben durch die Clubs der Stadt
Durch fremde Hände und wir werden nicht satt
Wir wachen dann auf bei immer anderem Geliebten
Von denen wir dachten, dass wir sie nie verlassen

Wir können nicht mehr atmen und vergessen zu essen
Wir trinken zu viel, es bleibt 'n Spiel ohne Ziel
Wann hört das auf? Wann komm' wir hier raus?
Wovon sollen wir träumen?
Wo sind wir zuhaus'?
Wo sind wir zuhaus'?

Wovon sollen wir träumen
So wie wir sind?
So wie wir sind?
So wie wir sind?
Woran können wir glauben?
Wo führt das hin?
Was kommt und bleibt
So wie wir sind?

Wir lassen uns treiben durch die Clubs der Stadt
Durch fremde Hände und wir werden nicht satt
Wir wachen dann auf bei immer anderem Geliebten
Von denen wir dachten, dass wir sie nie verlassen

(Wovon sollen wir träumen?)
(Wovon sollen wir träumen?)
(Woran können wir glauben)

Wovon sollen wir träumen?"
Halt dich an mir fest,Revolverheld feat. Marta Jandová,"Du hast mich lang nicht mehr so angeseh'n
Hast mir lang nichts mehr erzählt (hah-ah-ah)
Unsere Fotos hast du abgenommen
Weil dir irgendetwas fehlt
Du rufst mich an und sagst, du weißt nicht mehr
Weißt nicht mehr, was dich berührt
Die letzten Jahre hab'n dich aufgewühlt
Und dich nur noch mehr verwirrt

Halt dich an mir fest, wenn dein Leben dich zerreißt
Halt dich an mir fest, wenn du nicht mehr weiter weißt
Ich kann dich versteh'n
Halt dich an mir fest, weil das alles ist, was bleibt

Ich lass' das Licht an, bis du schlafen kannst
Doch du wällst dich hin und her, oh-oh
Schläfst die Nächte von mir abgewandt
Bist du einsam neben mir?

Halt dich an mir fest, wenn dein Leben dich zerreißt
Halt dich an mir fest, wenn du nicht mehr weiter weißt
Ich kann dich versteh'n
Halt dich an mir fest, weil das alles ist, was bleibt

Siehst du den Weg aus dieser Dunkelheit?
Willst du raus? Ich bin bereit
Das kann nicht alles schon gewesen sein
Ich glaub' an uns und unsre Zeit

Halt dich an mir fest, wenn dein Leben dich zerreißt (hah-ah-ah)
Halt dich an mir fest, wenn du nicht mehr weiter weißt

Halt dich an mir fest, wenn dein Leben dich zerreißt
Halt dich an mir fest, wenn du nicht mehr weiter weißt
Ich lass' dich nicht geh'n
Halt dich an mir fest, weil das alles ist, was bleibt

Halt dich an mir fest, weil das alles ist, was bleibt
Halt dich an mir fest, weil das alles ist, was bleibt"
